,url
0,https://forums.hardwarezone.com.sg/malaysia-269/msia-covid-19-a-6227817.html
1,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/advice-covid-19-a-6209538.html
2,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/potential-first-case-healthcare-workers-being-affected-covid-19-a-6222721.html
3,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/incoming-first-death-covid-19-singapore-6233869.html
4,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/seems-like-fear-covid-19-over-6212035.html
5,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/%5Bbreaking%5D-spore-reported-2-covid-19-death-cases-6234064.html
6,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/covid-19-actually-blessing-6255786.html
7,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/%5Bofficial%5D-only-beginning-covid-19-global-pandemic-6213702.html
8,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/32-year-old-man-who-died-singapore-while-awaiting-his-covid-19-test-6252210.html
9,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/pm-lee-says-singapore-faces-2-choices-wait-out-covid-19-situation-before-ge-call-early-6228313.html
10,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/breaking-indonesia-announces-13-new-confirmed-covid-19-cases-bringing-total-19-a-6224861.html
11,https://forums.hardwarezone.com.sg/money-mind-210/dbs-giving-free-covid-19-insurance-cover-30-days-6226486.html
12,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/%5B27-02-2020%5D-3-new-cases-covid-19-infection-confirmed-6217646.html
13,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/%5Bforecast%5D-best-days-singapore-over-wuhan-covid-19-could-mark-extinction-humans-6255619.html
14,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/covid-19-transmission-patterns-similar-h1n1-rather-than-sars-lawrence-wong-6208805.html
15,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/why-indo-do-not-have-covid-19-a-6216676.html
16,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/if-u-r-covid-19-virus-reason-why-u-cannot-survive-indonesia-6217963.html
17,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/north-koreas-first-confirmed-coronavirus-covid-19-patient-shot-dead-report-6218088.html
18,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/covid-19-does-not-infect-malays-6209291.html
19,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/95-sporeans-attended-same-religious-event-bruneis-1st-covid-19-case-6226426.html
20,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/14-mar-2020-condo-got-covid-19-case-6228357.html
21,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/us-will-become-laughing-stock-if-covid-19-originated-us-6254858.html
22,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/promoter-robinsons-heeren-diagnosed-covid-19-a-6225129.html
23,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/%5Bglgt%5D-least-3-covid-19-infection-now-linked-gym-aperia-mall-6225084.html
24,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/%5B10-03-2020%5D-6-new-cases-covid-19-infection-confirmed-6225204.html
25,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/%5Bwho-employer%5D-bangladeshi-national-covid-19-very-critical-state-6213373.html
26,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/so-covid-19-going-over-soon-6213320.html
27,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/26-02-2020-2-new-cases-covid-19-infection-confirmed-6216939.html
28,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/%5B07-04-2020%5D-106-new-cases-covid-19-infection-confirmed-6251367.html
29,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/%5B10-04-2020%5D-198-new-cases-covid-19-infection-confirmed-6254526.html
30,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/5-mcdonalds-spore-employees-4-branches-diagnosed-covid-19-outlets-closed-till-further-n-6256661.html
31,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/%5Bsent-gov-sg-16-feb%5D-%2Acovid-19-not-sars%2A-6209985.html
32,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/%5B11-4-2020%5D-191-new-cases-covid-19-infection-confirmed-6255726.html
33,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/two-new-covid-19-patients-kl-nz-visited-indonesia-before-getting-sick-reports-6219369.html
34,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/singapores-war-against-covid-19-doomed-failure-right-start-6254717.html
35,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/taiwan-talk-show-praise-singapore-covid-19-a-6218657.html
36,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/gg-foreigners-come-free-covid-19-treatment-liao-6223950.html
37,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/%5B03-04-2020%5D-65-new-cases-covid-19-infection-confirmed-6246190.html
38,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/covid-19-malaysia-reports-184-new-cases-death-toll-rises-3-a-6255460.html
39,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/eight-more-confirmed-cases-covid-19-infection-6207958.html
40,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/%5Bmothership%5D-ong-ye-kung-ge-may-held-amid-covid-19-outbreak-democracy-still-has-go-6251751.html
41,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/chinas-hubei-reports-no-increase-covid-19-cases-xinhua-6253905.html
42,https://forums.hardwarezone.com.sg/thailand-279/covid-19-virus-bkk-6193276.html
43,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/singapore-confirms-2-covid-19-cases-linked-new-science-park-cluster%3B-3-more-discha-6218286.html
44,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/covid-19-outbreak-all-just-storm-teacup-perhaps-possibly-maybe-6209858.html
45,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/%5B12-03-2020%5D-9-new-cases-covid-19-infection-confirmed-6226712.html
46,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/%5B05-03-2020%5D-5-new-cases-covid-19-infection-confirmed-6222017.html
47,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/%5B29-02-2020%5D-4-new-cases-covid-19-infection-confirmed-6218972.html
48,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/%5B09-03-2020%5D-10-new-cases-covid-19-infection-confirmed-6224603.html
49,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/1-singtel-staff-got-covid-19-a-6222339.html
50,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/case-82-tio-dengue-covid-19-jin-poor-thing-6212508.html
51,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/%5B26-03-2020%5D-52-new-cases-covid-19-infection-confirmed-6239218.html
52,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/covid-19-songs-6215430.html
53,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/covid-19-1-new-case-s%92pore-didn%92t-test-positive-despite-showing-symptoms-6216266.html
54,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/breaking-japanese-man-tests-positive-covid-19-after-indonesia-visit-report-6214801.html
55,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/kumgong-coined-uncool-name-covid-19-a-6206877.html
56,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/%5Bbreaking%5D-fifth-covid-19-death-recorded-singapore-6245751.html
57,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/pcf-sparkletots-teacher-tests-positive-covid-19-a-6236740.html
58,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/further-proof-covid-19-first-started-us-6228638.html
59,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/prof-tommy-kohs-appeal-singaporeans-fight-covid-19-a-6210878.html
60,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/dengue-singapore-vs-covid-19-singapore-6222688.html
61,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/%5B24-feb-2020%5D-1-new-covid-19-case-75-year-old-woman-linked-life-church-7-icu-6215664.html
62,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/%5B01-03-2020%5D-4-new-cases-covid-19-infection-confirmed-6219616.html
63,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/%5Bgpgt%5D-abang-not-happy-nuh-charged-%24323-27-covid-19-test-6229415.html
64,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/%5B08-04-2020%5D-142-new-cases-covid-19-infection-confirmed-6252200.html
65,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/covid-19-promotions-list-6226281.html
66,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/amazing-covid-19-antibodies-csi-now-allows-moh-find-out-who-likely-infected-you-6216292.html
67,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/where-did-covid-19-originate-6228343.html
68,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/two-more-cases-discharged%3B-no-new-confirmed-case-covid-19-infection-6214986.html
69,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/covid-19-4-cases-uncovered-linked-church-s%92pore-bukit-timah-6229820.html
70,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/%5Bgpgt%5D-daily-new-covid-19-cases-declining-6207505.html
71,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/%5Bwuhan-covid-19%5D-anyone-else-praying-reservist-cancelled-6226941.html
72,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/%5B14-03-2020%5D-12-new-cases-covid-19-infection-confirmed-6228371.html
